activity_id,deal_id,type,timestamp,participants,subject,content,outcome
133,17,Email-Inbound,2025-05-05T00:00:00,Morgan Gomes->Rep,Re: Apex Labs • Demo/Presentation next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
134,17,Email-Outbound,2025-05-07T00:00:00,Rep->Morgan Gomes,Apex Labs • Demo/Presentation next steps,"[stub Healthcare/Positive] Following up on audit trail, BAA contract. Prior: Demo/Presentation thread referencing clinical workflows, FHIR",Sent
135,17,Email-Inbound,2025-05-09T00:00:00,Morgan Gomes->Rep,Re: Apex Labs • Demo/Presentation next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
136,17,Email-Outbound,2025-05-11T00:00:00,Rep->Morgan Gomes,Apex Labs • Demo/Presentation next steps,"[stub Healthcare/Positive] Following up on clinical workflows, interoperability. Prior: Demo/Presentation thread referencing audit trail, BAA contract",Sent
137,17,Email-Inbound,2025-05-13T00:00:00,Morgan Gomes->Rep,Re: Apex Labs • Demo/Presentation next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
138,17,Email-Outbound,2025-05-15T00:00:00,Rep->Morgan Gomes,Apex Labs • Demo/Presentation next steps,"[stub Healthcare/Positive] Following up on FHIR, patient privacy. Prior: Demo/Presentation thread referencing clinical workflows, interoperability",Sent
139,17,Email-Inbound,2025-05-17T00:00:00,Morgan Gomes->Rep,Re: Apex Labs • Demo/Presentation next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
140,17,Email-Outbound,2025-05-19T00:00:00,Rep->Morgan Gomes,Apex Labs • Demo/Presentation next steps,"[stub Healthcare/Positive] Following up on clinical workflows, FHIR. Prior: Demo/Presentation thread referencing FHIR, patient privacy",Sent
141,17,Email-Inbound,2025-05-21T00:00:00,Morgan Gomes->Rep,Re: Apex Labs • Demo/Presentation next steps,[stub reply] Thanks for the details—let’s review next week.,Reply
142,17,Meeting,2025-05-27T00:00:00,"Casey Ribeiro, Skyler Barbosa, Casey Barbosa",Demo/Presentation discussion,"[stub notes Healthcare/Demo/Presentation/Positive] Discussed clinical workflows, audit trail, risk assessment. Attendees: Casey Ribeiro, Skyler Barbosa, Casey Barbosa. Next steps assigned.",Agreed next steps
